2026-03-05 00:39:41 | INFO | app.agents.tracing | agent_step
2026-03-05 00:39:41 | INFO | app.agents.tracing | agent_step
2026-03-05 00:39:41 | INFO | app.agents.tracing | agent_step
2026-03-05 00:39:41 | INFO | httpx | HTTP Request: POST http://testserver/query "HTTP/1.1 200 OK"
2026-03-05 01:24:03 | INFO | app.agents.tracing | agent_step
2026-03-05 01:24:03 | INFO | app.agents.tracing | agent_step
2026-03-05 01:24:03 | INFO | app.agents.tracing | agent_step
2026-03-05 01:24:03 | INFO | app.agents.tracing | agent_step
2026-03-05 01:24:03 | INFO | app.agents.tracing | agent_step
2026-03-05 01:24:03 | INFO | httpx | HTTP Request: POST http://testserver/query "HTTP/1.1 200 OK"
2026-03-05 01:27:10 | INFO | __main__ | Starting ingestion pipeline
2026-03-05 01:27:10 | INFO | app.etl.pdf_loader | Using existing local PDF
2026-03-05 01:33:43 | INFO | app.etl.extractor | PDF extraction complete
2026-03-05 01:33:43 | INFO | app.etl.pipeline | ETL pipeline complete
2026-03-05 01:33:43 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-05 01:33:43 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-03-05 01:33:47 | WARNING | app.retrieval.vector_store | chromadb not available; using local JSON vector index backend.
2026-03-05 01:33:48 | INFO | app.retrieval.indexer | Indexed chunk batch
2026-03-05 01:33:49 | INFO | app.retrieval.indexer | Indexed chunk batch
2026-03-05 01:33:51 | INFO | app.retrieval.indexer | Indexed chunk batch
2026-03-05 01:33:51 | INFO | __main__ | Ingestion complete
2026-03-05 01:57:38 | INFO | app.agents.tracing | agent_step
2026-03-05 01:57:38 | INFO | app.agents.tracing | agent_step
2026-03-05 01:57:38 | INFO | app.agents.tracing | agent_step
2026-03-05 01:57:38 | INFO | app.agents.tracing | agent_step
2026-03-05 01:57:38 | INFO | app.agents.tracing | agent_step
2026-03-05 01:57:38 | INFO | httpx | HTTP Request: POST http://testserver/query "HTTP/1.1 200 OK"
